AnimalType,Breed,Lifespan,Adaptability,Size
Dog,Toy Fox Terrier,5110,5,Small
Dog,Canaan Dog,5110,5,Medium
Dog,Irish Terrier,5475,5,Medium
Dog,Treeing Tennesse Brindle,4015,5,Medium to Large
Dog,Tibetan Spaniel,5475,5,Small
Dog,Cane Corso,4015,2,Large
Dog,Pbgv,5110,3,Medium
Dog,Glen Of Imaal,5110,5,Medium
Dog,Australian Terrier,5475,5,Giant
Dog,Presa Canario,4015,2,Giant
Dog,Chinese Crested,5110,3,Small
Dog,Neapolitan Mastiff,3650,2,Large to Giant
Dog,Bedlington Terr,5840,4,Medium
Dog,Nova Scotia Duck Tolling Retriever,5110,5,Medium
Dog,Wirehaired Pointing Griffon,5110,3,Medium
Dog,Feist,5475,5,Small
Dog,Belgian Sheepdog,4015,4,Medium
Dog,Samoyed,5110,4,Medium
Dog,Otterhound,4380,3,Large
Dog,Welsh Springer Spaniel,5475,5,Medium
Dog,Entlebucher,5475,3,Medium
Dog,Bull Terrier Miniature,5110,3,Small
Dog,Dogue De Bordeaux,4015,3,Large
Dog,Bluetick Coonhound,4380,5,Large
Dog,Sealyham Terr,5840,5,Small
Dog,Japanese Chin,5110,5,Small
Dog,Saluki,5110,5,Large
Dog,Hovawart,5110,5,Medium to Large
Dog,Norwegian Elkhound,4380,5,Medium
Dog,German Pinscher,5475,3,Medium
Dog,Port Water Dog,5110,5,Medium
Dog,Treeing Cur,5840,5,Small to Medium
Dog,Belgian Tervuren,4380,5,Medium
Dog,Spanish Mastiff,3650,5,Largest
Dog,Lowchen,5475,5,Small
Dog,Swiss Hound,4745,5,Medium to Large
Dog,English Cocker Spaniel,5110,5,Medium
Dog,Spinone Italiano,5110,3,Medium
Cat,Domestic Shorthair,6205,5,Medium
Cat,Angora,3650,3,Small to Medium
Cat,Russian Blue,5840,3,Medium
Cat,Domestic Longhair,6205,5,Medium
Cat,Siamese,5475,5,Medium
Cat,Domestic Medium Hair,6205,5,Medium
Cat,Manx,5110,5,Medium to Large
Cat,Exotic Shorthair,5475,5,Medium
Cat,Devon Rex,5475,5,Medium
Cat,Snowshoe,6935,5,Medium
Cat,Maine Coon,5475,5,Largest
Cat,Burmese,5840,5,Medium
Cat,Bengal,5840,5,Medium to Large
Cat,American Shorthair,6205,5,Medium to Large
Cat,Himalayan,1825,5,Medium to Large
Cat,Ragdoll,6205,5,Largest
Cat,Bombay,5840,5,Medium
Cat,Persian,5475,5,Medium to Large
Cat,Cornish Rex,5110,5,Medium
Cat,Balinese,5475,5,Medium
Cat,Japanese,5840,5,Medium
Cat,British Shorthair,6205,5,Largest
Cat,Japanese Bobtail,5840,5,Medium
Cat,Pixiebob Shorthair,5840,5,Medium to Large
Cat,Tonkinese,5840,5,Medium
Cat,Sphynx,5110,5,Medium
Cat,Ocicat,5110,5,Medium to Large
Cat,Abyssinian,5475,5,Medium
Cat,Munchkin Longhair,5475,5,Small to Medium
Cat,Turkish Van,6205,5,Medium to Large
Cat,Norwegian Forest Cat,5840,5,Large
Cat,Cymric,1460,5,Medium to Large
Cat,Havana Brown,5475,5,Medium
